competition_category,class_level,garden_code,garden_domain,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,source_reference
GM-NUR,Nursery 2,N07,MicroGrow Garden,How can we tell a seedling is growing?,It turns to metal,It disappears,It becomes taller or makes new leaves,It becomes a book,C,Height and new leaves are visible growth signs.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 2,N07,MicroGrow Garden,Why observe seedlings each day?,To stop growth,To hide them,To remove roots,To notice germination and growth,D,Daily observations reveal changes.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 2,N07,MicroGrow Garden,What should we do if the growing medium is already wet?,Avoid adding too much water,Flood it again,Remove every seed,Cover it with plastic litter,A,Too much water can be harmful.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 2,N08,Mini Table Garden,Where do table-garden plants grow?,On a clock,In growing mix held by the table bed,Inside a shoe,On a book,B,A table garden contains growing medium.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 2,N08,Mini Table Garden,Why is a mini table garden easy to observe?,Plants are hidden,It has no plants,Plants are raised and accessible,It is locked away,C,Raised plants are easier to reach and inspect.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 2,N08,Mini Table Garden,What should we check before watering?,Chair colour,Book count,Clock sound,Soil moisture,D,Checking moisture helps guide watering.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 2,N08,Mini Table Garden,Where should water go?,Onto the growing medium near plants,Onto books,Onto learners,Onto electrical sockets,A,Water should be directed safely to the growing medium.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 2,N08,Mini Table Garden,What can a table garden help learners compare?,Shoe brands,Plant growth,Desk numbers,Wall paint only,B,Accessible plants make growth comparisons easier.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 2,N08,Mini Table Garden,Why should the table garden have drainage?,To hide plants,To make noise,To remove excess water,To store pencils,C,Drainage prevents excess water from remaining.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 2,N08,Mini Table Garden,Which action keeps a table garden tidy?,Throw plastic into it,Break plants,Flood the floor,Remove litter and keep paths clear,D,A tidy learning garden is safer and easier to use.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 2,N08,Mini Table Garden,What tool can record plant height?,Ruler,Plate,Pillow,Cup,A,A ruler can measure plant height.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 2,N08,Mini Table Garden,If one plant is taller than another what are we comparing?,Colour of desks,Height,School bell,Book pages,B,Tall and short describe height.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 2,N09,Sack Garden,What holds soil in a sack garden?,Plate,Pencil,Sack,Chair,C,The sack contains the growing soil.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 2,N09,Sack Garden,Where should water be directed?,Onto books,At learners,Onto a wall,Into the growing soil,D,Water belongs in the growing medium.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 2,N09,Sack Garden,Where can plants grow in a sack garden?,At suitable planting openings,Inside a pencil,On a clock,Under a shoe,A,Plants can grow from prepared openings.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 2,N09,Sack Garden,Why can a sack garden hold several plants?,It has electricity,It has several planting points,It is a book,It makes sunlight,B,Multiple planting points can support several plants.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 2,N09,Sack Garden,What should we check before watering a sack?,Desk colour,Shoe size,Soil moisture,Bell sound,C,Moisture checking helps avoid overwatering.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 2,N09,Sack Garden,Why should a sack stand securely?,So it can roll away,So soil spills,So plants break,So it does not tip over,D,A stable sack is safer.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 2,N09,Sack Garden,What happens if water drains from the bottom?,Extra water is leaving,The sack is making electricity,The plants are books,The soil is disappearing instantly,A,Drainage allows excess water to leave.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 2,N09,Sack Garden,Which plant is best for a small sack opening?,A large tree,A suitable small crop,A metal pole,A chair,B,Small crops suit limited planting openings.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 2,N09,Sack Garden,Why observe plants at different sack openings?,To remove them daily,To hide them,To compare how they grow,To stop watering,C,Comparing positions can reveal growth differences.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 2,N10,Discovery Garden,What should we do when we see a new leaf?,Break it,Hide it,Step on it,Observe it,D,Observation helps us notice growth.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 2,N10,Discovery Garden,What can we use to record what we see?,Observation sheet,Football,Pillow,Plate,A,An observation sheet records findings.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 2,N10,Discovery Garden,Why look at the same plant on different days?,To make it disappear,To notice changes,To stop growth,To change the weather,B,Repeated observations reveal change.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 2,N10,Discovery Garden,Which is a useful garden observation?,A bell rang,A shoe moved,A new leaf appeared,A book closed,C,A new leaf is a plant observation.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 2,N10,Discovery Garden,What can we measure to check growth?,Desk colour,Shoe brand,Bell volume,Plant height,D,Plant height is a measurable growth indicator.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 2,N10,Discovery Garden,If a plant has more leaves this week what happened?,It grew new leaves,It became plastic,It stopped existing,It became a stone,A,More leaves can indicate growth.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 2,N10,Discovery Garden,What is a fair way to compare two plants?,Guess without looking,Observe the same feature on both,Pull both out,Change one answer later,B,Using the same observation supports a fair comparison.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 2,N10,Discovery Garden,Why draw a plant in an observation book?,To stop it growing,To water the book,To record how it looks,To hide the plant,C,A drawing can document visible features.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 2,N10,Discovery Garden,What should we do if we are unsure what changed?,Guess quickly,Break the plant,Ignore all notes,Look carefully and compare earlier records,D,Earlier records help verify change.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N01,Alphabet Garden,Which letter begins the word garden?,G,P,S,W,A,Garden begins with G.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N01,Alphabet Garden,Which letter begins the word water?,G,W,L,R,B,Water begins with W.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N01,Alphabet Garden,Which letter begins the word leaf?,S,P,L,G,C,Leaf begins with L.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N01,Alphabet Garden,Which letter begins the word root?,L,W,S,R,D,Root begins with R.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N01,Alphabet Garden,Which letter begins the word flower?,F,G,P,T,A,Flower begins with F.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N01,Alphabet Garden,Which word begins with P?,Garden,Plant,Seed,Water,B,Plant begins with P.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N01,Alphabet Garden,Which word begins with S?,Leaf,Root,Seed,Flower,C,Seed begins with S.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N01,Alphabet Garden,Which word begins with W?,Plant,Garden,Leaf,Water,D,Water begins with W.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N01,Alphabet Garden,Which two words begin with the same letter?,Garden and grow,Leaf and seed,Plant and water,Root and flower,A,Garden and grow both begin with G.,advanced,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N02,Number Garden,How many leaves are in a group of two?,1,2,3,4,B,A group of two has 2 leaves.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N02,Number Garden,How many seedlings are in a group of four?,2,3,4,5,C,A group of four has 4 seedlings.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N02,Number Garden,One plant and one more plant make how many?,1,3,4,2,D,One plus one equals two.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N02,Number Garden,Three seeds and one more seed make how many?,4,2,3,5,A,Three plus one equals four.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N02,Number Garden,Five leaves with one removed leave how many?,3,4,5,6,B,Five minus one equals four.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N02,Number Garden,Which group has more plants?,2 plants,1 plant,4 plants,0 plants,C,"Four is greater than two, one and zero.",standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N02,Number Garden,Which number comes after 3?,2,3,5,4,D,Four comes after three.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N02,Number Garden,Which number comes before 5?,4,3,5,6,A,Four comes before five.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N02,Number Garden,Two rows with two plants in each row have how many plants?,2,4,3,5,B,Two groups of two make four.,advanced,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N03,Geometry Garden,Which shape is round?,Square,Triangle,Circle,Rectangle,C,A circle is round.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N03,Geometry Garden,Which shape has three sides?,Circle,Square,Oval,Triangle,D,A triangle has three sides.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N03,Geometry Garden,Which shape has four equal sides?,Square,Triangle,Circle,Oval,A,A square has four equal sides.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N03,Geometry Garden,Which shape looks like a long box?,Circle,Rectangle,Triangle,Oval,B,A rectangle can look like a long box.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N03,Geometry Garden,Which shape has no corners?,Square,Triangle,Circle,Rectangle,C,A circle has no corners.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N03,Geometry Garden,How many corners does a square have?,2,3,5,4,D,A square has four corners.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N03,Geometry Garden,How many sides does a triangle have?,3,2,4,5,A,A triangle has three sides.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N03,Geometry Garden,Which pair both have four sides?,Circle and triangle,Square and rectangle,Circle and oval,Triangle and circle,B,Squares and rectangles both have four sides.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N03,Geometry Garden,Which shape could make a round garden bed?,Triangle,Square only,Circle,Line,C,A circle forms a round bed.,advanced,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N04,Leaf Garden,Which plant part is usually flat and green?,Root,Stone,Pot,Leaf,D,A leaf is commonly flat and green.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N04,Leaf Garden,Which leaf is bigger?,The longer wider leaf,The smallest leaf,A stone,A stick,A,Length and width help us compare leaf size.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N04,Leaf Garden,What can we look at when comparing leaves?,Shoe size,Shape,Clock time,Desk number,B,Leaf shape is an observable feature.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N04,Leaf Garden,What may happen to a healthy young leaf as it grows?,It becomes plastic,It becomes a stone,It becomes larger,It disappears,C,Young leaves often increase in size.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N04,Leaf Garden,Which is a leaf colour we may observe?,Transparent glass,Metal,Chalk,Green,D,Green is a common leaf colour.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N04,Leaf Garden,What should we do before touching a leaf for observation?,Use gentle hands,Pull hard,Tear it,Step on it,A,Gentle handling protects the plant.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N04,Leaf Garden,Which observation describes a change?,The chair is blue,The leaf became larger,The bell rang,A book opened,B,A larger leaf is a change in the plant.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N04,Leaf Garden,What tool can help compare leaf length?,Plate,Shoe,Ruler,Cup,C,A ruler can measure leaf length.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N04,Leaf Garden,Two leaves have different edges. What are we comparing?,School uniform,Weather only,Desk height,Leaf shape and edge,D,Leaf edges are visible features for comparison.,advanced,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N05,Butterfly Garden,Which animal often visits flowers?,Butterfly,Fish,Catfish,Goat,A,Butterflies often visit flowers.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N05,Butterfly Garden,What do many butterflies drink from flowers?,Sand,Nectar,Plastic,Chalk,B,Many butterflies feed on flower nectar.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N05,Butterfly Garden,Which part attracts many visiting butterflies?,Broken glass,Bare concrete,Flowers,Plastic bags,C,Flowers can attract butterflies.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N05,Butterfly Garden,How should we watch a butterfly in the garden?,Catch its wings,Throw soil,Chase it,Quietly from a safe distance,D,Quiet observation avoids harming the butterfly.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N05,Butterfly Garden,Why should flowers be protected?,They can feed pollinators,They are toys,They stop all insects,They are stones,A,Flowers provide resources for pollinators.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N05,Butterfly Garden,What may a butterfly carry between flowers?,Pebbles,Pollen,Pencils,Plastic cups,B,Butterflies can move pollen between flowers.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N05,Butterfly Garden,Which garden is friendliest to butterflies?,One with no plants,One covered in litter,One with healthy flowering plants,One with broken glass,C,Flowering plants provide food and habitat.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N05,Butterfly Garden,What should we avoid spraying near butterflies?,Clean water on soil,Nothing at all,Observation notes,Unknown chemicals,D,Unknown chemicals may harm butterflies and other organisms.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N05,Butterfly Garden,A butterfly moves from flower to flower. What is it helping with?,Pollination,Painting,Digging,Sweeping,A,Flower visits can help transfer pollen.,advanced,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N06,ReBottle Garden,What can be reused as a small planter?,Broken glass,Clean plastic bottle,Dirty chemical container,Sharp metal,B,A clean suitable plastic bottle can be reused safely.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N06,ReBottle Garden,What should a bottle planter hold?,Broken glass,School books,Growing mix,Metal nails,C,A planter holds a safe growing medium.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N06,ReBottle Garden,Why make drainage holes?,To make music,To hold pencils,To add weight,To let extra water out,D,Drainage holes allow excess water to leave.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N06,ReBottle Garden,Which bottle is safest to reuse?,Clean smooth bottle,Cracked sharp bottle,Chemical bottle,Broken glass bottle,A,A clean smooth bottle reduces avoidable hazards.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N06,ReBottle Garden,What should happen before reusing a bottle?,Break it,Clean it,Fill it with litter,Sharpen its edges,B,Reusable containers should be clean and safe.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N06,ReBottle Garden,Where should a drainage hole be placed?,In a learner's book,On a leaf,Near the bottom,In the air,C,Low drainage holes allow excess water to escape.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N06,ReBottle Garden,What can grow in a bottle planter?,A stone,A pencil,A shoe,A small suitable plant,D,Small plants can grow in suitable bottle planters.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N06,ReBottle Garden,Why reuse a bottle in the garden?,To give it another useful purpose,To create sharp waste,To dirty the garden,To stop plants growing,A,Reuse gives a suitable container another useful purpose.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N06,ReBottle Garden,What should we check after watering a bottle planter?,That the cap is noisy,That extra water can drain,That books are wet,That soil is removed,B,Drainage helps prevent waterlogging.,advanced,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N07,MicroGrow Garden,What is a very young plant called?,Stone,Chair,Seedling,Cup,C,A seedling is a young plant.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N07,MicroGrow Garden,What helps a seed start germinating?,Plastic toy,Paint,Metal,Water,D,Water is needed for germination.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N07,MicroGrow Garden,What may appear first when a seed germinates?,A tiny root or shoot,A stone,A spoon,A shoe,A,Germination produces early root and shoot growth.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N07,MicroGrow Garden,What should we keep moist while seeds begin to grow?,School bag,Growing medium,Desk,Wall,B,Seeds need suitable moisture in the growing medium.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N07,MicroGrow Garden,What should we do with tiny seedlings?,Pull them often,Step on them,Handle them gently,Throw them,C,Young seedlings are delicate.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N07,MicroGrow Garden,What does a seed need besides water to grow well after germination?,Plastic litter,Paint,Broken glass,Suitable light and air,D,Young plants need suitable environmental conditions.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N07,MicroGrow Garden,How can we tell a seedling is growing?,It becomes taller or makes new leaves,It turns to metal,It disappears,It becomes a book,A,Height and new leaves are visible growth signs.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N07,MicroGrow Garden,Why observe seedlings each day?,To stop growth,To notice germination and growth,To hide them,To remove roots,B,Daily observations reveal changes.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N07,MicroGrow Garden,What should we do if the growing medium is already wet?,Flood it again,Remove every seed,Avoid adding too much water,Cover it with plastic litter,C,Too much water can be harmful.,advanced,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N08,Mini Table Garden,Where do table-garden plants grow?,On a clock,Inside a shoe,On a book,In growing mix held by the table bed,D,A table garden contains growing medium.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N08,Mini Table Garden,Why is a mini table garden easy to observe?,Plants are raised and accessible,Plants are hidden,It has no plants,It is locked away,A,Raised plants are easier to reach and inspect.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N08,Mini Table Garden,What should we check before watering?,Chair colour,Soil moisture,Book count,Clock sound,B,Checking moisture helps guide watering.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N08,Mini Table Garden,Where should water go?,Onto books,Onto learners,Onto the growing medium near plants,Onto electrical sockets,C,Water should be directed safely to the growing medium.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N08,Mini Table Garden,What can a table garden help learners compare?,Shoe brands,Desk numbers,Wall paint only,Plant growth,D,Accessible plants make growth comparisons easier.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N08,Mini Table Garden,Why should the table garden have drainage?,To remove excess water,To hide plants,To make noise,To store pencils,A,Drainage prevents excess water from remaining.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N08,Mini Table Garden,Which action keeps a table garden tidy?,Throw plastic into it,Remove litter and keep paths clear,Break plants,Flood the floor,B,A tidy learning garden is safer and easier to use.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N08,Mini Table Garden,What tool can record plant height?,Plate,Pillow,Ruler,Cup,C,A ruler can measure plant height.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N08,Mini Table Garden,If one plant is taller than another what are we comparing?,Colour of desks,School bell,Book pages,Height,D,Tall and short describe height.,advanced,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N09,Sack Garden,What holds soil in a sack garden?,Sack,Plate,Pencil,Chair,A,The sack contains the growing soil.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N09,Sack Garden,Where should water be directed?,Onto books,Into the growing soil,At learners,Onto a wall,B,Water belongs in the growing medium.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N09,Sack Garden,Where can plants grow in a sack garden?,Inside a pencil,On a clock,At suitable planting openings,Under a shoe,C,Plants can grow from prepared openings.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N09,Sack Garden,Why can a sack garden hold several plants?,It has electricity,It is a book,It makes sunlight,It has several planting points,D,Multiple planting points can support several plants.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N09,Sack Garden,What should we check before watering a sack?,Soil moisture,Desk colour,Shoe size,Bell sound,A,Moisture checking helps avoid overwatering.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N09,Sack Garden,Why should a sack stand securely?,So it can roll away,So it does not tip over,So soil spills,So plants break,B,A stable sack is safer.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N09,Sack Garden,What happens if water drains from the bottom?,The sack is making electricity,The plants are books,Extra water is leaving,The soil is disappearing instantly,C,Drainage allows excess water to leave.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N09,Sack Garden,Which plant is best for a small sack opening?,A large tree,A metal pole,A chair,A suitable small crop,D,Small crops suit limited planting openings.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N09,Sack Garden,Why observe plants at different sack openings?,To compare how they grow,To remove them daily,To hide them,To stop watering,A,Comparing positions can reveal growth differences.,advanced,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N10,Discovery Garden,What should we do when we see a new leaf?,Break it,Observe it,Hide it,Step on it,B,Observation helps us notice growth.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N10,Discovery Garden,What can we use to record what we see?,Football,Pillow,Observation sheet,Plate,C,An observation sheet records findings.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N10,Discovery Garden,Why look at the same plant on different days?,To make it disappear,To stop growth,To change the weather,To notice changes,D,Repeated observations reveal change.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N10,Discovery Garden,Which is a useful garden observation?,A new leaf appeared,A bell rang,A shoe moved,A book closed,A,A new leaf is a plant observation.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N10,Discovery Garden,What can we measure to check growth?,Desk colour,Plant height,Shoe brand,Bell volume,B,Plant height is a measurable growth indicator.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N10,Discovery Garden,If a plant has more leaves this week what happened?,It became plastic,It stopped existing,It grew new leaves,It became a stone,C,More leaves can indicate growth.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N10,Discovery Garden,What is a fair way to compare two plants?,Guess without looking,Pull both out,Change one answer later,Observe the same feature on both,D,Using the same observation supports a fair comparison.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N10,Discovery Garden,Why draw a plant in an observation book?,To record how it looks,To stop it growing,To water the book,To hide the plant,A,A drawing can document visible features.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 3,N10,Discovery Garden,What should we do if we are unsure what changed?,Guess quickly,Look carefully and compare earlier records,Break the plant,Ignore all notes,B,Earlier records help verify change.,advanced,GM-NUR-PROD-V1
